Id,Label,nb_retweets,nb_retweeted,modularity_class,pageranks,Modularity Class_08,Modularity Class_10-selected
538684370,,316,569,4,0.000471,7,4
1416359521795166210,,969,536,4,0.000959,4,4
1394975254418763790,,53,2684,4,0.000315,6,4
14180138,,78,1541,4,0.000332,7,4
1169901198180139008,,1336,1401,4,0.001346,4,4
1106857022543286272,,153,1185,4,0.00033,4,4
881615056437297152,NASA climate scientist,165,58065,4,0.002013,4,4
757668817581506565,,2284,492,4,0.001976,4,4
3218229703,,312,3367,4,0.000669,7,4
2270905347,,1005,4109,4,0.001039,4,4
1167826204910673921,,450,3547,4,0.000606,4,4
18536997,,421,3429,4,0.000732,7,4
1090715513586679813,,21,40385,4,0.0005,8,4
159955958,,78,12339,4,0.00036,7,4
15305044,,252,12869,4,0.001324,8,4
1639748756,,65,3957,4,0.000499,8,4
2433046586,,127,1855,4,0.000342,8,4
1215462115592560640,,123,2605,4,0.000327,6,4
307005530,,711,384,4,0.000579,8,4
311641320,,278,443,4,0.000561,7,4
930174438,,136,1288,4,0.000297,7,4
814844446051274754,,40,3178,4,0.000297,8,4
1007707906064732160,,548,2249,4,0.000694,8,4
192842634,,196,1087,4,0.000315,6,4
898272197407584257,,1009,734,4,0.001174,4,4
798518975164518400,,328,625,4,0.000294,4,4
95468980,,1199,2188,4,0.001151,4,4
1334461202248949763,,151,3511,4,0.000378,6,4
322180487,,2058,3287,4,0.001709,6,4
102157523,,1345,2982,4,0.001221,4,4
2238117590,,35,5179,4,0.000378,4,4
146123790,,79,6520,4,0.000396,6,4
816592081200279552,,73,7912,4,0.00071,8,4
401775393,,16,15381,4,0.00079,6,4
223416400,,109,15141,4,0.001745,6,4
3935845456,,466,933,4,0.000435,4,4
34317032,,882,27545,4,0.00237,7,4
344395626,Climate Scientist,271,67703,4,0.004989,4,4
3005897708,Meteorologist,63,33576,4,0.001038,4,4
32140995,,430,818,4,0.000537,6,4
848906492,,424,623,4,0.000417,4,4
253998571,,184,8644,4,0.000618,8,4
260478229,,764,45441,4,0.003496,4,4
16203788,,250,510,4,0.000359,7,4
1216011788870934528,,394,375,4,0.0004,6,4
4473582389,,1635,533,4,0.001148,6,4
70736359,,69,10294,4,0.000789,6,4
100534368,,210,1335,4,0.00035,4,4
933440778394841088,,1068,3303,4,0.000841,8,4
21786618,,8,28664,4,0.001652,7,4
2497242884,,24,2471,4,0.000292,6,4
362642209,,649,2180,4,0.000982,6,4
1617731504,,290,1734,4,0.000429,6,4
32540650,,405,891,4,0.000465,3,4
132655244,,481,1159,4,0.000504,3,4
22737278,,90,21037,4,0.000812,8,4
2400631,,25,3162,4,0.000609,8,4
2563372862,,2186,2019,4,0.001383,8,4
94215105,,127,713,4,0.000361,8,4
87502184,,67,1451,4,0.000341,8,4
17026589,,241,1619,4,0.000458,8,4
912278708349698048,,287,11628,4,0.001116,8,4
108408529,,40,11252,4,0.000555,8,4
14779408,,394,8525,4,0.001067,8,4
1219316331788374016,,159,1678,4,0.000375,8,4
2297072474,,169,675,4,0.000296,8,4
112475924,,78,4879,4,0.00037,7,4
2032411,,50,1380,4,0.000351,8,4
366208117,,168,273,4,0.000394,8,4
837920045401452544,,481,603,4,0.000311,8,4
1322965681,,486,962,4,0.000575,7,4
2261261,,108,1007,4,0.000293,8,4
20790580,,301,12266,4,0.001328,7,4
14588121,,125,6684,4,0.000691,7,4
7215512,,394,5457,4,0.000337,8,4
14296273,,38,6262,4,0.000366,7,4
