Id;modularity_class
543468506;4
127519470;4
1416359521795166210;4
1445069259730677762;4
2609500814;4
15129265;4
1069908916023291904;4
25393191;4
1526459150036877312;4
59386332;4
611789295;4
223264842;4
1039919004197027840;4
2150912885;4
1216550422191587328;4
928280101;4
1016046844915437568;4
1436728338094100480;4
813477602;4
76693160;4
1002275268411707392;4
102157523;4
1212564056827031553;4
51176565;4
910623276778405888;4
1066307354969473025;4
1445880242707570691;4
19070844;4
22971125;4
1370404690194731016;4
1421417927769829382;4
1431077756863922180;4
24457744;4
1108734032202874880;4
257219643;4
2776754639;4
1183399823971536897;4
1186693129522548736;4
1657282916;4
2612668305;4
1076015362762772480;4
20295438;4
2849357031;4
44090607;4
3222685142;4
1042644440865796096;4
3253228622;4
3716338821;4
1499805599827038217;4
1079443074;4
1328342600873435138;4
250402748;4
70574146;4
437085205;4
380956211;4
1415316173420433408;4
18713552;4
330502724;4
1429384373963534337;4
3364467483;4
246560945;4
2891596755;4
3189885294;4
918447422908616705;4
952636350158819328;4
1321883651039207425;4
983247178075398144;4
560005675;4
2825913259;4
1498531553361682435;4
14588121;4
862339157355622400;4
1322940951602581504;4
1312451937179107328;4
951129003267641346;4
2726752672;4
82409932;4
1247978381402128384;4
810943038122033153;4
1145793366405369858;4
1274388347104919554;4
1300185780640391168;4
712037238507446273;4
1174330971958775808;4
2449496046;4
30927826;4
1446146763166044161;4
876408673;4
885884185096925184;4
1239644065160986636;4
3387164319;4
1409806668200873984;4
1441008354;4
1200153542650212371;4
576275730;4
38721145;4
143844718;4
757105663528972288;4
403076895;4
1161766256539607040;4
111349115;4
1172573890243158022;4
250650508;4
125414395;4
1258110317558673410;4
871092388550377474;4
43660789;4
25081451;4
10401512;4
45365156;4
819309126975193090;4
312297225;4
1005551820716924928;4
776726977;4
146402756;4
2216166005;4
1096766566279073792;4
329294962;4
133507637;4
1269195939417403396;4
1394975254418763790;4
22166017;4
755252174;4
3935845456;4
95468980;4
15557246;4
1521488783467851776;4
754281382550077440;4
2666790169;4
33325867;4
819853925184638976;4
1200722335;4
388743786;4
1443275526236479492;4
2823650596;4
959909651683905541;4
226891781;4
1257273575050018817;4
1381705437502918664;4
1409933303499661314;4
2557429591;4
864164890675728385;4
1874840533;4
272454390;4
45120463;4
1339099105579175936;4
111216929;4
